utterance,intent,intent1
provide info transport allowance,payroll.transport_allowance,265
provide info ga,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
provide list mandatory training new hire need take,training.who_is_required_to_complete_the_mandatory_learning,500
provide step adp ot approved delegation,payroll.how_to_delegate_ot_allowance,239
provide step search course offered staff,training.how_do_i_know_what_programme_dbs_academy_offers,466
send new hire 1bank id,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
share detail leave,leave.leave_guidelines,150
share payslip august month,payroll.how_to_generate_my_payslip,240
share formula calculating allowance,payroll.how_do_i_compute_allowances,232
show calculate maternity leave payment,payroll.maternity_leave_pay_calculation,252
show medical coverage,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
show team cal record,leave.leaves_of_direct_reports,151
suggest need done receive new year treat,iprivileges.how_to_participate_in_dbs_staff_promotion,114
teach allowance approved delegation,payroll.how_to_delegate_ot_allowance,239
teach submit flex claim,iflex.how_to_submit_iflex_claim,69
tell cancel leave,people_hub.how_to_correct_or_cancel_my_leave_in_people_hub,303
tell correct leave,people_hub.how_to_correct_or_cancel_my_leave_in_people_hub,303
tell create 1bank id new colleague,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
tell locate learning assigned,training.where_can_i_locate_my_e-learnings_in_dbs_learning_hub,496
tell submit dental expense,medical.how_to_submit_dental_claim,170
tell apply esp,training.gesp_eligibility,461
tell course compliance hr,training.training_hours,487
tell course qualify compliance hr,training.training_hours,487
tell esp,training.what_is_gesp,493
tell leave,leave.leave_guidelines,150
tell life insurance,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
tell bank insurance plan,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
tell mediate refund,medical.outpatient_medical_credit,180
tell application process esp,training.gesp_application,460
tell claim submission step claim add,medical.how_do_i_claim_for_group_dread_disease,165
tell claim submission step claim terminal illness benefit,medical.how_do_i_claim_for_group_dread_disease,165
tell mandatory training need complete,training.who_is_required_to_complete_the_mandatory_learning,500
tell step claiming group dread disease,medical.how_do_i_claim_for_group_dread_disease,165
tell step claiming terminal illness benefit,medical.how_do_i_claim_for_group_dread_disease,165
tell step complete course evaluation,training.where_do_i_do_complete_my_course_evaluation,498
tell step submit baby bonus,medical.how_to_claim_baby_bonus,168
tell step view ir8a,payroll.view_form_ir8a,268
tell training course attend,training.how_do_i_know_what_programme_dbs_academy_offers,466
tell training made available staff,training.how_do_i_know_what_programme_dbs_academy_offers,466
tell skill,performance_and_development.how_do_i_assess_or_update_my_skills,348
tell esp stand,training.what_is_gesp,493
tell mandatory training,training.what_is_a_mandatory_learning,489
tell mean standard letter request,standard_letter_request.can_hr_prepare_a_letter_for_me,421
tell whats esp eligibility criterion,training.gesp_eligibility,461
tell find info variable wage supplement,payroll.what_is_my_bonus_pay_out_computation,274
tell taking leave team,leave.leaves_of_direct_reports,151
tell taking leaf today,leave.leaves_of_direct_reports,151
tell taking leaf,leave.leaves_of_direct_reports,151
cancel leave,people_hub.how_to_correct_or_cancel_my_leave_in_people_hub,303
cancel re,payroll.how_to_withdraw_from_rental_reimbursement_scheme,246
cancel resignation request,people_hub.how_to_rescind_retract_resignation_in_people_hub,308
cancel rental,payroll.how_to_withdraw_from_rental_reimbursement_scheme,246
cancelling temp staff cm,cwms.termination_or_cancellation_in_cwms,27
cannot submit pdr selfevaluation deadline,performance_and_development.cannot_submit_year-end_review_by_deadline,338
cannot submit yer selfevaluation deadline,performance_and_development.cannot_submit_year-end_review_by_deadline,338
cannot access flex,iflex.iflex_issues,73
cannot access flex account,iflex.iflex_issues,73
cannot find task people hub,offboarding.cannot_trigger_3_tasks_after_tendering_resignation,195
cannot launch learning,training.cannot_launch_e-learning,451
cannot locate task people hub,offboarding.cannot_trigger_3_tasks_after_tendering_resignation,195
cannot log flex,iflex.iflex_issues,73
cannot select ongoing review template,performance_and_development.cannot_select_on-going_review_template,337
cannot view yearend comp review,compensation.cannot_view_year-end_comp_review,1
car allowance,payroll.transport_allowance,265
car parking facility dah,training.parking_at_dbs_premises,482
car policy,iprivileges.staff_car_loan,117
career opportunity,internal_mobility.developing_my_career_in_dbs,93
carry forward leave,leave.can_i_carry_forward_my_leave,139
cascading goal manager,performance_and_development.cascading_of_goals_by_manager,339
cash leave,leave.leave_encashment,149
castle benefit,medical.how_can_i_avail_cashless_hospitalization_benefit,163
cease re,payroll.how_to_withdraw_from_rental_reimbursement_scheme,246
cease rental,payroll.how_to_withdraw_from_rental_reimbursement_scheme,246
cease rental reimbursement,payroll.documents_required_for_rental_reimbursement,227
cease rental reimbursement programme,payroll.how_to_withdraw_from_rental_reimbursement_scheme,246
celeb club,general_benefits.what_is_celeb_club_and_club_membership,50
cert service,standard_letter_request.can_i_request_dbs_to_generate_certificate_of_service_for_me,427
change billing pc code contingent worker,cwms.assignment_amendments_in_cwms,19
change mp fund choice,payroll.how_to_change_my_mpf_investment_fund_choices,236
change mandatory provide fund choice,payroll.how_to_change_my_mpf_investment_fund_choices,236
change ordo employee contribution,payroll.can_i_change_my_orso_voluntary_contribution_rate,221
change ordo investment plan,payroll.can_i_change_my_orso_investment_fund_choices,220
change ordo voluntary contribution,payroll.can_i_change_my_orso_voluntary_contribution_rate,221
change dependent info,staff_info_update.update_dependant_info,419
change mp scheme ordo scheme,payroll.can_i_change_from_mpf_scheme_to_orso_scheme,219
change hiring manager one external worker,cwms.assignment_amendments_in_cwms,19
change reporting manager,staff_info_update.change_in_reporting_manager,409
change handphone number,staff_info_update.update_contact_info_and_address,418
change tel number,staff_info_update.update_contact_info_and_address,418
change nationality,staff_info_update.how_can_i_update_my_singapore_citizenship_status,412
change personal particular,staff_info_update.personal_info_update,417
change salary bank account standard chartered,staff_info_update.how_can_i_change_my_salary_crediting_account,411
change db manager agency contract staff,cwms.assignment_amendments_in_cwms,19
change particular,staff_info_update.personal_info_update,417
change pension choice,payroll.can_i_change_from_mpf_scheme_to_orso_scheme,219
change fund plan,payroll.can_i_change_from_mpf_scheme_to_orso_scheme,219
change start date agency contractor,cwms.assignment_amendments_in_cwms,19
change tel,staff_info_update.update_contact_info_and_address,418
changing contingent staff,cwms.termination_or_cancellation_in_cwms,27
changing contract approved,cwms.assignment_amendments_in_cwms,19
changing cf contract billing detail,cwms.assignment_amendments_in_cwms,19
changing contract worker,cwms.termination_or_cancellation_in_cwms,27
check mp cont,payroll.how_to_view_my_mpf_contribution_amount,244
check mp contribution payslip,payroll.how_to_view_my_mpf_contribution_amount,244
check block leave,people_hub.how_do_i_generate_block_leave_report_in_people_hub,292
check pd completed,performance_and_development.how_to_retrieve_my_submitted_pd_document,358
check leave balance,leave.can_i_take_leave,140
check leaf,leave.can_i_take_leave,140
check number day leave,leave.can_i_take_leave,140
checking db skillsflex balance,training.how_do_i_check_my_skillsflex_balance,464
childcare leave still 2 day,leave.leave_guidelines,150
child outpatient benefit,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
chinese medicine practitioner,medical.can_i_make_dental_claims,159
chinese herbalist,medical.can_i_make_dental_claims,159
chinese medical consultation,medical.can_i_make_dental_claims,159
christmas,leave.list_of_public_holidays,152
christmas early pay,payroll.festive_early_pay,229
christmas eve working time,general_benefits.festive_early_release,47
christmas working time,general_benefits.festive_early_release,47
circumcision leave,leave.leave_guidelines,150
claim credit along salary,medical.medical_claim_status,177
close ordo account upon separation,payroll.orso_vested_benefits_upon_separation_from_the_bank,257
copaymt medical salary slip,medical.why_is_there_a_medical_-_related_deduction_in_my_pay_slip,192
payment deduction,medical.why_is_there_a_medical_-_related_deduction_in_my_pay_slip,192
coming leave,leave.leaves_of_direct_reports,151
commencement date credit certification,training.deadline_to_complete_credit_certification,458
comp proposal people hub,compensation.how_to_access_the_year-end_comp_review,8
compensation change letter,compensation.how_to_view_my_compensation_eletter,9
compensation leave,leave.can_i_take_leave,140
compensation statement,compensation.how_to_view_my_compensation_eletter,9
compensation proposal ph,compensation.how_to_access_the_year-end_comp_review,8
complete ki,performance_and_development.how_to_add_or_edit_my_goals,350
completed credit certification advanced level proceed next level,training.can_i_progress_to_the_next_credit_certification_level,448
completion bonus direct contract employee,payroll.completion_bonus_for_direct_contract_employee,222
completion contract decline,cwms.termination_or_cancellation_in_cwms,27
compliance hour report,training.training_hours,487
component compensation structure,compensation.components_of_the_compensation_structure,3
compulsory course,training.what_is_a_mandatory_learning,489
compulsory training,training.what_is_a_mandatory_learning,489
compute salary lieu notice,payroll.how_to_compute_salary-in-lieu_of_notice,238
confirmation staff people hub,people_hub.confirmation_of_staff_in_people_hub,289
constraint change mp investment fund choice,payroll.how_to_change_my_mpf_investment_fund_choices,236
contact number connect doctor available site,medical.what_is_doctor_on_site,185
contact number reach daycare service,general_benefits.daycare_partners_reimbursement_policy,45
contact person insurance company need updated name change detail,medical.what_is_an_e-card,184
contact change mp investment fund choice,payroll.how_to_change_my_mpf_investment_fund_choices,236
contingent staff,cwms.what_is_cwms,29
contingent workforce,cwms.what_is_cwms,29
contingent workforce management,cwms.what_is_cwms,29
contingent staff country tagging,cwms.work_location_tagging_for_cwf,30
contingent staff physical work location,cwms.work_location_tagging_for_cwf,30
contingent staff update detail,cwms.assignment_amendments_in_cwms,19
contingent staffing,cwms.what_is_cwms,29
contingent worker 1banked,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
contingent worker sla decline,cwms.cwf_service_level_agreement,23
contingent worker access card,onboarding.new_hire_staff_pass,213
contingent worker approval,cwms.approvals_and_delegation_in_cwms,18
contingent worker building access,onboarding.new_hire_staff_pass,213
contingent worker guideline,cwms.what_is_cwms,29
contingent worker guideline,cwms.what_is_cwms,29
contingent worker learning hub,training.who_is_required_to_complete_the_mandatory_learning,500
contingent worker location tagging,cwms.work_location_tagging_for_cwf,30
contingent worker login detail,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
contingent worker boarding,cwms.cwf_service_level_agreement,23
contingent worker purchase order,cwms.cwf_purchase_order,22
contingent worker purchase acquisition,cwms.cwf_purchase_order,22
contingent worker staff pas,onboarding.new_hire_staff_pass,213
contingent worker timeline,cwms.cwf_service_level_agreement,23
contingent workforce budget acquisition,cwms.cwf_purchase_order,22
contingent workforce request,cwms.cwms_new_request,24
contract staffing,cwms.what_is_cwms,29
contract cancellation external staff,cwms.termination_or_cancellation_in_cwms,27
contract change cm,cwms.assignment_amendments_in_cwms,19
contract detail change contingent workforce management,cwms.assignment_amendments_in_cwms,19
contract end receive completion bonus receive,payroll.completion_bonus_for_direct_contract_employee,222
contract extension timeline bee line,cwms.extensions_or_renewal_in_cwms,25
contract renewal external contractor,cwms.extensions_or_renewal_in_cwms,25
contract renewal timeline cf,cwms.extensions_or_renewal_in_cwms,25
contract staff decline change approval,cwms.approvals_and_delegation_in_cwms,18
contract staff convert perm,cwms.termination_or_cancellation_in_cwms,27
contract staff access card,onboarding.new_hire_staff_pass,213
contract staff completion cm,cwms.termination_or_cancellation_in_cwms,27
contract staff eligible comp review,compensation.who_is_eligible_for_compensation_review,17
contract staff job class contingent worker system,cwms.cwms_new_request,24
contract staff job title cm,cwms.cwms_new_request,24
contract staff location change,cwms.assignment_amendments_in_cwms,19
contract staff purchase acquisition,cwms.cwf_purchase_order,22
contract staff resignation cm,cwms.termination_or_cancellation_in_cwms,27
contract staff resignation process,cwms.termination_or_cancellation_in_cwms,27
contract worker building access,onboarding.new_hire_staff_pass,213
contract worker left bank,cwms.termination_or_cancellation_in_cwms,27
contractor,cwms.what_is_cwms,29
contractor staff pas,onboarding.new_hire_staff_pass,213
contribute mp,payroll.mpf_voluntary_contribution,254
conversion external contract permanent staff,cwms.termination_or_cancellation_in_cwms,27
corporate grab,payroll.transport_reimbursement,266
corporate mediclaim,medical.corporate_mediclaim_key_stakeholders,160
corporate mediclaim coverage,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
corporate mediclaim coverage enrolment,medical.how_can_i_enroll_myself___dependants_into_the_medical_scheme,164
corporate mediclaim key stakeholder,medical.corporate_mediclaim_key_stakeholders,160
corporate mediclaim key element,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
corporate club membership,general_benefits.what_is_celeb_club_and_club_membership,50
correct leave,people_hub.how_to_correct_or_cancel_my_leave_in_people_hub,303
could check deterrent n reservist one staff go,standard_letter_request.can_i_request_dbs_to_generate_a_ns_deferment_letter_for_me,424
could letter defer reservist,standard_letter_request.can_i_request_dbs_to_generate_a_ns_deferment_letter_for_me,424
could please check flex used purchase personal laptop,iflex.what_can_be_claimed_against_iflex,75
could let know leave balance,leave.can_i_take_leave,140
could check early pay muslim hari ray,payroll.festive_early_pay,229
could advice find regarding cf contribution rate contributing full rate,payroll.cpf_contribution_rates,224
could advice find regarding cf contribution amount contributing full rate,payroll.cpf_contribution_rates,224
could advice assist cf enquiry moment cf deduction payslip,payroll.my_cpf_contributions_are_not_deducted_,255
could advise tcm treatment claimed db medical insurance policy,medical.how_to_submit_medical_claim,171
could help find change education field current hr profile,staff_info_update.i_wish_to_update_my_diploma_degree_certificate_in_the_system_,415
could please advise medical insurance amount payable deduction salary march 2017 insurance premium amount s800 also deducted flex insurance premium,medical.why_is_there_a_medical_-_related_deduction_in_my_pay_slip,192
could please arrange invitation letter travel india singapore,standard_letter_request.can_i_request_dbs_to_generate_invitation_letter_for_me,429
could please assist issue letter apply lt new born child,standard_letter_request.can_i_request_dbs_to_generate_a_letter_for_ltvp_application,422
could please assist provide certificate service,standard_letter_request.can_i_request_dbs_to_generate_certificate_of_service_for_me,427
could please assist provide company letter head template perhaps send deterrent letter,standard_letter_request.can_i_request_dbs_to_generate_a_ns_deferment_letter_for_me,424
could please help issuing letter need apply visa application country visit france 3 day italy 10 day,standard_letter_request.can_i_request_dbs_to_generate_visa_letter_for_me,433
could please help get invitation letter singapore business visa,standard_letter_request.can_i_request_dbs_to_generate_invitation_letter_for_me,429
could please help grant annex form 4a application pr urgent basis,standard_letter_request.can_i_request_dbs_to_generate_a_pr_letter_for_me,425
could please help grant annex form 4a application pr urgency basis,standard_letter_request.can_i_request_dbs_to_generate_a_pr_letter_for_me,425
could please provide business introduction letter application visa india,standard_letter_request.can_i_request_dbs_to_generate_visa_letter_for_me,433
could pls advise handling existing share so scheme happen share required liquidated cash timeline complete,shares.what_happens_to_my_sos_units,406
could provide detail existing so holding bank transit share,shares.what_happens_to_my_sos_units,406
country functional manager evaluation pd,performance_and_development.country_and_functional_manager_evaluation_during_pd,340
country functional manager evaluation or,performance_and_development.country_and_functional_manager_evaluation_during_pd,340
country location contingent workforce,cwms.work_location_tagging_for_cwf,30
course withdrawal,training.course_withdrawal,453
course approval db learning hub,training.course_approval_in_dbs_learning_hub,452
course approval horizon lm,training.course_approval_in_dbs_learning_hub,452
create new cf acquisition,cwms.cwms_new_request,24
credit bureau check professional contractor,cwms.cwf_pre_employment_screening,21
credit card limit review form,iprivileges.personal_credit_cards_application,116
credit certification commencement date,training.deadline_to_complete_credit_certification,458
credit certification promotion requirement,training.credit_certification_and_promotion_requirements,454
credit bureau check agency contractor,cwms.cwf_pre_employment_screening,21
crediting contribution share,shares.crediting_of_contribution_shares,392
crediting leave entitlement following year,leave.crediting_of_leave_entitlement_for_following_year,142
criterion maternity leave,leave.leave_guidelines,150
criterion neonatal care leave,leave.criteria_for_neonatal_care_leave,143
criterion paternity leave,leave.leave_guidelines,150
currently applying long term visit pas mother need submit following document ica,standard_letter_request.can_i_request_dbs_to_generate_a_letter_for_ltvp_application,422
currently requesting invitation letter db singapore apply visa,standard_letter_request.can_i_request_dbs_to_generate_invitation_letter_for_me,429
dah2 leave,leave.leave_guidelines,150
dah2 holiday,leave.list_of_public_holidays,152
db academy room,training.dbs_academy_rooms,455
db credit certification,training.dbs_credit_certification,456
db group life insurance benefit,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
db group medical insurance benefit,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
db lettered db company stamp,standard_letter_request.dbs_letterhead_and_dbs_company_stamp,434
db mp contribution start date,payroll.employer_and_employee_mpf_contribution_start_date,228
db mandatory provide fund start date,payroll.employer_and_employee_mpf_contribution_start_date,228
db mediaccess,medical.how_to_submit_medical_claim,171
db mediaccess user guide,medical.how_to_submit_medical_claim,171
db reward philosophy,compensation.what_is_dbs_rewards_philosophy,14
db reward philosophy,compensation.what_is_dbs_rewards_philosophy,14
db so,shares.what_happens_to_my_sos_units,406
db skillsflex course horizon lm,training.how_do_i_know_what_programme_dbs_academy_offers,466
db skillsflexcredit balance,training.how_do_i_check_my_skillsflex_balance,464
db staff cash gift promotion,iprivileges.dbs_staff_promotion,105
db staff promotion,iprivileges.dbs_staff_promotion,105
db temp staff,cwms.what_is_cwms,29
db temporary staff,cwms.what_is_cwms,29
db contingent worker,cwms.what_is_cwms,29
db tie insurance company providing insurance coverage staff,medical.corporate_mediclaim_key_stakeholders,160
db time,leave.leave_guidelines,150
db learning hub,training.what_is_dbs_learning_hub,490
db lettered head,standard_letter_request.dbs_letterhead_and_dbs_company_stamp,434
db fund contribution date,payroll.employer_and_employee_mpf_contribution_start_date,228
db fund start date,payroll.employer_and_employee_mpf_contribution_start_date,228
db public holiday,leave.list_of_public_holidays,152
db recruiting hub access denied job search,internal_mobility.internal_mobility_system_escalation,101
db reward,compensation.what_is_dbs_rewards_philosophy,14
db scorecard,performance_and_development.what_is_a_balanced_scorecard,382
db skill match,performance_and_development.my_skills,371
db match share share bought outside,shares.will_dbs_match_my_personal_dbsh_shares,408
register relevant individual,offboarding.resignation_of_rnf_reps,200
deadline insurance claim submission,medical.deadline_for_medical_claim_submission,161
deadline medical claim submission,medical.deadline_for_medical_claim_submission,161
deadline flex claim submission,iflex.deadline_for_iflex_claim_submission,65
deadline complete credit certification,training.deadline_to_complete_credit_certification,458
dealing allowance,payroll.how_do_i_compute_allowances,232
dec 2020 pay,payroll.payroll-related_questions,259
decision additional expense contingent worker,cwms.contingent_worker_expense,20
deduction shortfall cf additional wage reflected final payslip relating,payroll.deduction_of__shortfall_of_cpf_on_additional_wages__reflected_in_my_final_payslip__what_is_this_relating_to,226
deduction shortfall cf additional wage reflected final payslip relating,payroll.deduction_of__shortfall_of_cpf_on_additional_wages__reflected_in_my_final_payslip__what_is_this_relating_to,226
deepavali inline,leave.how_do_i_claim_my_public_holiday_off-in-lieu,147
deepavali leave credit,leave.how_do_i_claim_my_public_holiday_off-in-lieu,147
deepavali lieu,leave.how_do_i_claim_my_public_holiday_off-in-lieu,147
default building access,onboarding.new_hire_staff_pass,213
defense ministry need company letter deterrent,standard_letter_request.can_i_request_dbs_to_generate_a_ns_deferment_letter_for_me,424
definition eo adjustment,payroll.what_is_employment_ordinance_adjustment,272
definition employment ordinance adjustment,payroll.what_is_employment_ordinance_adjustment,272
delegation approval authority cm,cwms.approvals_and_delegation_in_cwms,18
delete flex claim,iflex.iflex_claim_resubmission_deletion,72
dental claim,medical.can_i_make_dental_claims,159
department scorecard,performance_and_development.what_is_a_balanced_scorecard,382
dependent pas renewal,standard_letter_request.ep___dp___s_pass_renewal,435
dependent visa change,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318
dependent show medical enrollment,medical.discrepancy_with_staff_or_dependant_info_in_medical_portal,162
dependent update,staff_info_update.update_dependant_info,419
dept score card,performance_and_development.what_is_a_balanced_scorecard,382
detail change external contractor,cwms.assignment_amendments_in_cwms,19
detail eo adjustment,payroll.what_is_employment_ordinance_adjustment,272
developing career db,internal_mobility.developing_my_career_in_dbs,93
fulfill block leave requirement year,people_hub.how_do_i_generate_block_leave_report_in_people_hub,292
take profanity leave year,leave.can_i_take_leave,140
manager initiate get feedback,performance_and_development.did_my_manager_initiate_a_get_feedback_for_me,341
difference pay sabbatical leave,leave.differences_between_no_pay_and_sabbatical_leave,144
difference unpaid leave sabbatical leave,leave.differences_between_no_pay_and_sabbatical_leave,144
difference pay sabbatical leave,leave.differences_between_no_pay_and_sabbatical_leave,144
disaster leave,leave.leave_guidelines,150
disaster lv,leave.leave_guidelines,150
discrepancy defendant personal info,staff_info_update.discrepancy_in_employees_dependants_personal_info,410
discrepancy employee defendant personal info,staff_info_update.discrepancy_in_employees_dependants_personal_info,410
discrepancy employee spouse personal info,staff_info_update.discrepancy_in_employees_dependants_personal_info,410
discrepancy employee child personal info,staff_info_update.discrepancy_in_employees_dependants_personal_info,410
discrepancy staff dependent info enrolment portal,medical.discrepancy_with_staff_or_dependant_info_in_medical_portal,162
discrepancy staff dependent info mediaccess,medical.discrepancy_with_staff_or_dependant_info_in_medical_portal,162
discrepancy staff dependent info medical portal,medical.discrepancy_with_staff_or_dependant_info_in_medical_portal,162
discrepancy staff dependent info medical claim portal,medical.discrepancy_with_staff_or_dependant_info_in_medical_portal,162
dividend share,shares.dividends_from_ishares,393
db ambulance service,medical.what_is_ambulance_services,183
defendant include parent,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_,174
get flex,iflex.can_i_know_what_is_my_iflex_entitlement,62
get lieu ph saturday,leave.how_do_i_claim_my_public_holiday_off-in-lieu,147
paternity leave,leave.can_i_take_leave,140
dental benefit,medical.can_i_make_dental_claims,159
flex,iflex.can_i_know_what_is_my_iflex_entitlement,62
leave,leave.can_i_take_leave,140
apply contingent staff 1banked,onboarding.when_will_the_new_hire_1bank_id_be_ready,216
complete ordo termination form upon resignation,payroll.orso_vested_benefits_upon_separation_from_the_bank,257
complete one year service period eligible share,shares.eligibility_criteria_for_ishares,394
keep ordo account retirement age 65,payroll.withdrawal_of_orso_vested_benefits,287
keep ordo account retirement age 65 im leaving hong kong,payroll.withdrawal_of_orso_vested_benefits,287
preserve mm even permanently depart hong kong,payroll.withdrawal_of_orso_vested_benefits,287
preserve mm upon retirement,payroll.withdrawal_of_orso_vested_benefits,287
submit hard copy receipt flex claim,iflex.how_to_submit_iflex_claim,69
submit form enroll team course listed horizon,training.can_managers_enroll_staff_for_courses,450
wait age 65 withdraw ordo,payroll.withdrawal_of_orso_vested_benefits,287
wait retirement age 65 withdraw ordo,payroll.withdrawal_of_orso_vested_benefits,287
need medical insurance card dont make payment see panel doc,medical.how_do_i_go_about_paying_my_medical_bills,166
need manager approval delete skill,performance_and_development.can_i_delete_skills_that_are_irrelevant_to_me,332
need bos approve course enrolment,training.course_approval_in_dbs_learning_hub,452
need referral letter make medical claim specialist doctor id like visit knee injury,medical.must_i_get_referral_from_gp_before_consulting_a_specialist,179
need advance next curriculum level competing certification,training.can_i_progress_to_the_next_credit_certification_level,448
need clear clear last day work,leave.can_i_apply_leave_during_notice_period,138
need clear tax,payroll.tax_clearance_for_spr,262
need complete every selfevaluation comment every or template create,performance_and_development.do_i_need_to_include_my_self-evaluation_comments,342
need connect device use app,ihealth.how_to_connect_my_device_to_ihealth_app,83
need contribute cf aws,payroll.cpf_and_additional_wages,223
need contribute cf bonus,payroll.cpf_and_additional_wages,223
need declare outside appointment work grab driver,staff_info_update.outside_appointment,416
need anything staff complete ongoing review,performance_and_development.how_to_approve_on-going_review,352
need tax filing,payroll.individual_income_tax_reporting,250
need section management risk compliance control culture,performance_and_development.what_is_management_of_risk__compliance_and_control_culture,383
need fill application form staff banking privileged 2nd saving account,iprivileges.how_to_apply_for_staff_banking_privileges,109
need fulfill training ki,training.training_hours,487
need fulfill training hour,training.training_hours,487
need get preapproval surgery,medical.how_to_submit_medical_claim,171
need get approval intend barnstar weekend,staff_info_update.outside_appointment,416
need get line manager approval credit certificate training,training.how_to_search_for_credit_certification_training,473
need get manager approval indicating interest guest,talent_management.how_should_i_indicate_my_interest_to_be_my_guest,441
need get referral letter sp,medical.must_i_get_referral_from_gp_before_consulting_a_specialist,179
need give rating new hire joined jul oct,performance_and_development.manager_evaluation_for_new_hire_and_transfer_case,367
need give rating new hire joined nov,performance_and_development.manager_evaluation_for_new_hire_and_transfer_case,367
need give rating new hire,performance_and_development.manager_evaluation_for_new_hire_and_transfer_case,367
need pdr conversation employee joined july,performance_and_development.manager_evaluation_for_new_hire_and_transfer_case,367
need include selfevaluation comment,performance_and_development.do_i_need_to_include_my_self-evaluation_comments,342
need include selfevaluation comment goal section noted nonmandatory field,performance_and_development.how_to_start_my_pd_year-end_review,362
need include selfevaluation comment goal risk control compliance pride section noted nonmandatory field,performance_and_development.do_i_need_to_include_my_self-evaluation_comments,342
need indicate pm apply half day leave,people_hub.do_i_need_to_indicate_am_or_pm_for_half_day_leave_application,291
need inform hr change universal account number,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318
need inform manager applied transfer serving notice,internal_mobility.internal_mobility_application_while_serving_notice,99
need make appointment connect hr,general_benefits.who_is_my_hr_rm,51
need make appointment see ask hr,general_benefits.who_is_my_hr_rm,51
need obliged 22 guideline successfully transfer application servicing notice,internal_mobility.internal_mobility_application_while_serving_notice,99
need obliged 33 guideline successfully transfer application servicing notice,internal_mobility.internal_mobility_application_while_serving_notice,99
need obtain referral letter visit specialist,medical.must_i_get_referral_from_gp_before_consulting_a_specialist,179
need pay cf flex,iflex.is_my_iflex_claim_subjected_to_tax_and_or_cpf_payable,74
need pay first visit specialist later,medical.how_do_i_go_about_paying_my_medical_bills,166
need pay consult gp,medical.how_do_i_go_about_paying_my_medical_bills,166
need pay want enroll dependent,medical.premium_rates_for_dbs_group_medical_and_life_insurance_benefits,181
need pay upfront visit clinic,medical.how_do_i_go_about_paying_my_medical_bills,166
need pay upfront visit gp,medical.how_do_i_go_about_paying_my_medical_bills,166
need pay upfront visit rifle medical,medical.how_do_i_go_about_paying_my_medical_bills,166
need pay visit doctor,medical.how_do_i_go_about_paying_my_medical_bills,166
need provide color lamina social,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318
need attend training attended prior,training.track_status_of_credit_certification_training,483
need seek approval manager want appoint colleague leave application,people_hub.how_to_delegate_leave_rights_in_people_hub,305
need seek supervisor approval attend skillsflex programme,training.course_approval_in_dbs_learning_hub,452
need send original copy receipt mercer online submission,iflex.how_to_submit_iflex_claim,69
need submit ir8a,payroll.individual_income_tax_reporting,250
need submit ir8a,payroll.individual_income_tax_reporting,250
need submit investment proof,payroll.how_to_submit_my_investment_proofs,242
need submit rental claim terminate rental reimbursement,payroll.how_to_withdraw_from_rental_reimbursement_scheme,246
need submit bill 31st mar,iflex.deadline_for_iflex_claim_submission,65
need submit investment declaration,payroll.how_to_submit_my_investment_declaration,241
need take block leave,leave.can_i_take_leave,140
need update fin,people_hub.how_to_update_fin_in_people_hub,315
need update ma change address,staff_info_update.update_contact_info_and_address,418
need update dependent visa id,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318
need wait till 1 year service submit claim claim would still within 12 month completion owns training cycle,people_hub.how_to_submit_ns_men_achievement_award_claim,309
pas baby bonus form hr,medical.how_to_claim_baby_bonus,168
pay first see chinese physician,medical.how_do_i_go_about_paying_my_medical_bills,166
priority tag cf worker hiring manager country,cwms.work_location_tagging_for_cwf,30
submit study loan hr branch,iprivileges.how_to_apply_for_staff_study_loan,113
submit baby bonus form hr,medical.how_to_claim_baby_bonus,168
sg permanent resident need inform hr change passport,staff_info_update.update_passport_number,420
employee enjoy staff banking privilege,iprivileges.eligibility_for_staff_banking_privileges,107
manager receive invitation talent review,hipo_management.what_is_assess_my_teams_potential_email_for,57
nominee considered db talent,hipo_management.are_my_nominees_in_the_talent_programme,52
nominee participate talent programme,hipo_management.are_my_nominees_in_the_talent_programme,52
staff enjoy preferential rate bank service,iprivileges.eligibility_for_staff_banking_privileges,107
ambulance service 24 hour available office premise,medical.what_is_ambulance_services,183
contract staff block leave,leave.leave_guidelines,150
contract staff completion bonus,payroll.completion_bonus_for_direct_contract_employee,222
feedback,performance_and_development.getting_feedback_for_performance_review,343
