,utterance,intent,intent1,pred_idx,pred_values,top_p1,top_p2,top_p3,top_class1,top_class2,top_class3,predictions1,predictions2,predictions3
822,compensation letter,compensation.how_to_view_my_compensation_eletter,9,9,compensation.how_to_view_my_compensation_eletter,0.4950920045375824,0.045424286276102066,0.026879487559199333,9,10,16,compensation.how_to_view_my_compensation_eletter,compensation.how_to_view_my_team_compensation_eletters,compensation.when_will_the_compensation_eletter_communication_start
823,who can i contact if i injure myself at work,medical.who_can_i_contact_if_i_injured_myself_at_work,190,190,medical.who_can_i_contact_if_i_injured_myself_at_work,0.8373115062713623,0.0033186001237481833,0.003230223199352622,190,75,171,medical.who_can_i_contact_if_i_injured_myself_at_work,iflex.what_can_be_claimed_against_iflex,medical.how_to_submit_medical_claim
824,apply for off in lieu,leave.how_do_i_claim_my_public_holiday_off-in-lieu,147,140,leave.can_i_take_leave,0.4919375777244568,0.3179679214954376,0.04764808714389801,140,147,329,leave.can_i_take_leave,leave.how_do_i_claim_my_public_holiday_off-in-lieu,people_hub.what_is_my_leave_balance
825,application for off day in lieu,leave.how_do_i_claim_my_public_holiday_off-in-lieu,147,140,leave.can_i_take_leave,0.5960643291473389,0.24085885286331177,0.033687446266412735,140,147,329,leave.can_i_take_leave,leave.how_do_i_claim_my_public_holiday_off-in-lieu,people_hub.what_is_my_leave_balance
826,where to apply for off day in lieu,leave.how_do_i_claim_my_public_holiday_off-in-lieu,147,140,leave.can_i_take_leave,0.8265014886856079,0.07928990572690964,0.022851165384054184,140,147,329,leave.can_i_take_leave,leave.how_do_i_claim_my_public_holiday_off-in-lieu,people_hub.what_is_my_leave_balance
827,how long for my service in dbs,people_hub.how_to_check_my_joined_date_in_people_hub,300,300,people_hub.how_to_check_my_joined_date_in_people_hub,0.7231830358505249,0.01936393231153488,0.016972435638308525,300,207,196,people_hub.how_to_check_my_joined_date_in_people_hub,onboarding.end_of_probation,offboarding.how_to_determine_last_day_of_service
828,leave enc hash,leave.leave_encashment,149,151,leave.leaves_of_direct_reports,0.9106499552726746,0.02147778496146202,0.011542149819433689,151,329,140,leave.leaves_of_direct_reports,people_hub.what_is_my_leave_balance,leave.can_i_take_leave
829,cab policy,escalation.escalation_cases,32,266,payroll.transport_reimbursement,0.672233521938324,0.01511304546147585,0.007873285561800003,266,183,481,payroll.transport_reimbursement,medical.what_is_ambulance_services,training.parking_at_dbs_premises
830,what to eat,general_benefits.eat_with_your_family,46,253,payroll.meal_claim,0.6177796721458435,0.02058660052716732,0.0134038794785738,253,46,81,payroll.meal_claim,general_benefits.eat_with_your_family,ihealth.healthy_habit_challenges
831,eat,general_benefits.eat_with_your_family,46,253,payroll.meal_claim,0.5477740168571472,0.0325409397482872,0.01800711639225483,253,46,81,payroll.meal_claim,general_benefits.eat_with_your_family,ihealth.healthy_habit_challenges
832,what to eat in ah,general_benefits.eat_with_your_family,46,253,payroll.meal_claim,0.4596252143383026,0.09940946102142334,0.011556855402886868,253,46,42,payroll.meal_claim,general_benefits.eat_with_your_family,general_benefits.5_at_5
833,what should i eat today,general_benefits.eat_with_your_family,46,253,payroll.meal_claim,0.5546250939369202,0.06543165445327759,0.01529796700924635,253,46,47,payroll.meal_claim,general_benefits.eat_with_your_family,general_benefits.festive_early_release
834,what be the preferential rate for employee,iprivileges.iprivileges_escalation,115,124,iprivileges.what_are_the_preferential_interest_rates_for_employees,0.3289768695831299,0.1848878115415573,0.11929015070199966,124,115,107,iprivileges.what_are_the_preferential_interest_rates_for_employees,iprivileges.iprivileges_escalation,iprivileges.eligibility_for_staff_banking_privileges
835,examination fee reimbursement,training.training_claims,483,483,training.training_claims,0.3054637312889099,0.10686325281858444,0.04324079304933548,483,473,469,training.training_claims,training.how_to_submit_gesp_claim,training.how_to_claim_cmfas_exam
836,change central provident fund board contribution,payroll.how_do_i_change_my_cpf_contribution_rate,231,219,payroll.can_i_change_from_mpf_scheme_to_orso_scheme,0.24933770298957825,0.14612780511379242,0.07707105576992035,219,236,249,payroll.can_i_change_from_mpf_scheme_to_orso_scheme,payroll.how_to_change_my_mpf_investment_fund_choices,payroll.i_would_like_to_opt_out_change_the_monthly_contributions_for_cdac_sinda_mbmf_ecf
837,when do sos transition allowance will cease,shares.sos_transition_allowance,403,403,shares.sos_transition_allowance,0.9132155179977417,0.008876264095306396,0.005314008332788944,403,397,405,shares.sos_transition_allowance,shares.how_to_calculate_my_sos_transition_allowance,shares.what_happens_to_my_sos_units
838,cease sos,shares.what_is_ishares,406,405,shares.what_happens_to_my_sos_units,0.13250507414340973,0.0987936407327652,0.07833079248666763,405,393,390,shares.what_happens_to_my_sos_units,shares.eligibility_criteria_for_ishares,shares.can_i_stop_or_change_my_ishares_contribution
839,bonus payout,payroll.when_is_our_bonus_credited,282,274,payroll.what_is_my_bonus_pay_out_computation,0.5108780860900879,0.21754050254821777,0.030880842357873917,274,282,7,payroll.what_is_my_bonus_pay_out_computation,payroll.when_is_our_bonus_credited,compensation.how_is_the_group_and_unit_bonus_pool_determined
840,distribution list,training.what_is_dbs_learning_hub,489,30,cwms.work_location_tagging_for_cwf,0.0735044851899147,0.042060330510139465,0.034012917429208755,30,318,312,cwms.work_location_tagging_for_cwf,people_hub.how_to_update_national_id_or_government_id_in_people_hub,people_hub.how_to_update_contact_info_in_people_hub
841,how to refer a candidate,employee_referral_programme.one_name_each_guide,31,31,employee_referral_programme.one_name_each_guide,0.9344543814659119,0.0038321574684232473,0.0024191883858293295,31,312,431,employee_referral_programme.one_name_each_guide,people_hub.how_to_update_contact_info_in_people_hub,standard_letter_request.can_i_request_dbs_to_generate_testimonial
842,leave leave guideline sabbatical,leave.differences_between_no_pay_and_sabbatical_leave,144,150,leave.leave_guidelines,0.9375587105751038,0.011318027973175049,0.0031481811311095953,150,144,140,leave.leave_guidelines,leave.differences_between_no_pay_and_sabbatical_leave,leave.can_i_take_leave
843,hr benefit,general_benefits.benefits,44,44,general_benefits.benefits,0.17136503756046295,0.07105688750743866,0.07053861767053604,44,377,51,general_benefits.benefits,performance_and_development.request_for_hr_intervention_during_pdr,general_benefits.who_is_my_hr_rm
844,star mobility,internal_mobility.internal_mobility,97,97,internal_mobility.internal_mobility,0.16310827434062958,0.07564534991979599,0.05363592877984047,97,98,212,internal_mobility.internal_mobility,internal_mobility.internal_mobility_application_process,onboarding.new_hire_profile
845,change i share contribution,shares.can_i_stop_or_change_my_ishares_contribution,390,390,shares.can_i_stop_or_change_my_ishares_contribution,0.12291157990694046,0.06438235938549042,0.06051924452185631,390,393,406,shares.can_i_stop_or_change_my_ishares_contribution,shares.eligibility_criteria_for_ishares,shares.what_is_ishares
846,i share purchase,shares.how_is_the_share_price_determined,396,396,shares.how_is_the_share_price_determined,0.20567288994789124,0.12194126844406128,0.10574635118246078,396,391,395,shares.how_is_the_share_price_determined,shares.crediting_of_contribution_shares,shares.how_does_ishares_work
847,birthday benefit,people_hub.how_to_view_team_members_birthday_in_people_hub,324,324,people_hub.how_to_view_team_members_birthday_in_people_hub,0.2759116291999817,0.17266272008419037,0.043351080268621445,324,150,174,people_hub.how_to_view_team_members_birthday_in_people_hub,leave.leave_guidelines,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_
848,ors,people_hub.how_to_submit_ns_men_achievement_award_claim,309,62,iflex.can_i_know_what_is_my_iflex_entitlement,0.09550058096647263,0.0690775141119957,0.02918446809053421,62,140,150,iflex.can_i_know_what_is_my_iflex_entitlement,leave.can_i_take_leave,leave.leave_guidelines
849,carry forward,leave.can_i_carry_forward_my_leave,139,139,leave.can_i_carry_forward_my_leave,0.8973767757415771,0.005564339458942413,0.004679677542299032,139,329,142,leave.can_i_carry_forward_my_leave,people_hub.what_is_my_leave_balance,leave.crediting_of_leave_entitlement_for_following_year
850,employee rank,internal_mobility.internal_mobility_eligibility_criteria,100,259,payroll.payroll-related_questions,0.038045838475227356,0.035992905497550964,0.024842092767357826,259,21,32,payroll.payroll-related_questions,cwms.cwf_pre_employment_screening,escalation.escalation_cases
851,activate access top-up mobile pre-paid card,training.accessing_dbs_learning_hub,443,213,onboarding.new_hire_staff_pass,0.737402617931366,0.12061219662427902,0.01629895344376564,213,184,104,onboarding.new_hire_staff_pass,medical.what_is_an_e-card,iprivileges.corporate_credit_card
852,hr circular do not state bonus credit date,payroll.when_is_our_bonus_credited,282,282,payroll.when_is_our_bonus_credited,0.6603717803955078,0.06418351083993912,0.005800097715109587,282,274,8,payroll.when_is_our_bonus_credited,payroll.what_is_my_bonus_pay_out_computation,compensation.how_to_access_the_year-end_comp_review
853,bonus credit date,payroll.when_is_our_bonus_credited,282,282,payroll.when_is_our_bonus_credited,0.7894057631492615,0.010152083821594715,0.004801939707249403,282,274,267,payroll.when_is_our_bonus_credited,payroll.what_is_my_bonus_pay_out_computation,payroll.variable_sales_incentives
854,how can i contact hr,general_benefits.who_is_my_hr_rm,51,51,general_benefits.who_is_my_hr_rm,0.9646817445755005,0.0017179189017042518,0.0010549095459282398,51,312,48,general_benefits.who_is_my_hr_rm,people_hub.how_to_update_contact_info_in_people_hub,general_benefits.hr_circulars
855,when will bonus be pay,payroll.when_is_our_bonus_credited,282,282,payroll.when_is_our_bonus_credited,0.816296398639679,0.015421438030898571,0.004836387000977993,282,274,267,payroll.when_is_our_bonus_credited,payroll.what_is_my_bonus_pay_out_computation,payroll.variable_sales_incentives
856,when be bonus payout,payroll.when_is_our_bonus_credited,282,282,payroll.when_is_our_bonus_credited,0.8093967437744141,0.03015184961259365,0.004694710019975901,282,274,267,payroll.when_is_our_bonus_credited,payroll.what_is_my_bonus_pay_out_computation,payroll.variable_sales_incentives
857,can not log in vp due to password expire,onboarding.new_hire_1bank_password,211,211,onboarding.new_hire_1bank_password,0.5836535096168518,0.07791529595851898,0.013362356461584568,211,216,204,onboarding.new_hire_1bank_password,onboarding.when_will_the_new_hire_1bank_id_be_ready,onboarding.can_i_change_my_1bank_id
858,to request for a reference letter,standard_letter_request.can_i_request_dbs_to_generate_testimonial,431,431,standard_letter_request.can_i_request_dbs_to_generate_testimonial,0.6089606285095215,0.028254110366106033,0.016217350959777832,431,425,31,standard_letter_request.can_i_request_dbs_to_generate_testimonial,standard_letter_request.can_i_request_dbs_to_generate_certificate_of_employment_for_me,employee_referral_programme.one_name_each_guide
859,do i need manager approval for course below,training.course_approval_in_dbs_learning_hub,451,451,training.course_approval_in_dbs_learning_hub,0.2306143045425415,0.10223785042762756,0.06429853290319443,451,487,465,training.course_approval_in_dbs_learning_hub,training.training_suggestion,training.how_do_i_know_what_programme_dbs_academy_offers
860,how to claim external course,training.external_training_process,458,458,training.external_training_process,0.7878968119621277,0.006982495542615652,0.005675299093127251,458,487,483,training.external_training_process,training.training_suggestion,training.training_claims
861,fha login id,medical.what_is_an_e-card,184,216,onboarding.when_will_the_new_hire_1bank_id_be_ready,0.28769832849502563,0.06605856865644455,0.054571107029914856,216,184,75,onboarding.when_will_the_new_hire_1bank_id_be_ready,medical.what_is_an_e-card,iflex.what_can_be_claimed_against_iflex
862,how to record conversation in team,performance_and_development.request_for_a_performance_discussion_with_my_manager,376,376,performance_and_development.request_for_a_performance_discussion_with_my_manager,0.07660892605781555,0.023259378969669342,0.02220752276480198,376,355,439,performance_and_development.request_for_a_performance_discussion_with_my_manager,performance_and_development.how_to_give_feedback,talent_management.host_a_be_my_guest_opportunity
863,how to add member into security grout,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318,216,onboarding.when_will_the_new_hire_1bank_id_be_ready,0.23172569274902344,0.0446394644677639,0.03649239242076874,216,212,203,onboarding.when_will_the_new_hire_1bank_id_be_ready,onboarding.new_hire_profile,onboarding.arrangements_for_new_hire_prior_to_onboarding
864,i need my payslip to my personal mail i would,payroll.how_to_generate_my_payslip,240,240,payroll.how_to_generate_my_payslip,0.5963409543037415,0.1430387943983078,0.012775352224707603,240,320,410,payroll.how_to_generate_my_payslip,people_hub.how_to_view_my_payslip_in_people_hub,staff_info_update.how_can_i_change_my_salary_crediting_account
865,exam fee,training.training_claims,483,483,training.training_claims,0.14248639345169067,0.08458669483661652,0.07630974799394608,483,469,471,training.training_claims,training.how_to_claim_cmfas_exam,training.how_to_enrol_for_certificate_of_commercial_credit
866,training fee,training.training_claims,483,483,training.training_claims,0.3017178475856781,0.14760732650756836,0.04111429303884506,483,199,460,training.training_claims,offboarding.payment_of_training_costs_upon_resignation,training.gesp_eligibility
867,can i apply for i share,shares.how_to_join_ishares,398,398,shares.how_to_join_ishares,0.26785627007484436,0.2118702232837677,0.09177551418542862,398,393,406,shares.how_to_join_ishares,shares.eligibility_criteria_for_ishares,shares.what_is_ishares
868,bonus during probation,onboarding.end_of_probation,207,274,payroll.what_is_my_bonus_pay_out_computation,0.1534055471420288,0.0716429203748703,0.04655444249510765,274,7,282,payroll.what_is_my_bonus_pay_out_computation,compensation.how_is_the_group_and_unit_bonus_pool_determined,payroll.when_is_our_bonus_credited
869,bonus for probation,onboarding.end_of_probation,207,274,payroll.what_is_my_bonus_pay_out_computation,0.08021321892738342,0.05354374647140503,0.042809613049030304,274,207,7,payroll.what_is_my_bonus_pay_out_computation,onboarding.end_of_probation,compensation.how_is_the_group_and_unit_bonus_pool_determined
870,torso contribution,payroll.what_is_the_orso_vesting_scale,280,409,staff_info_update.discrepancy_in_employees_dependants_personal_info,0.021144477650523186,0.01896059699356556,0.01822410151362419,409,493,9,staff_info_update.discrepancy_in_employees_dependants_personal_info,training.what_is_kwench_mobile_library_service,compensation.how_to_view_my_compensation_eletter
871,voluntary contribution,payroll.mpf_voluntary_contribution,254,263,payroll.taxability_of_employee_voluntary_contribution,0.2505455017089844,0.13352343440055847,0.020243564620614052,263,221,254,payroll.taxability_of_employee_voluntary_contribution,payroll.can_i_change_my_orso_voluntary_contribution_rate,payroll.mpf_voluntary_contribution
872,management corporation,medical.medical_certificate,176,160,medical.corporate_mediclaim_key_stakeholders,0.029474440962076187,0.019419752061367035,0.017415404319763184,160,44,51,medical.corporate_mediclaim_key_stakeholders,general_benefits.benefits,general_benefits.who_is_my_hr_rm
873,when be dividend pay,shares.dividends_from_ishares,392,392,shares.dividends_from_ishares,0.4685956537723541,0.025225620716810226,0.021008325740695,392,124,107,shares.dividends_from_ishares,iprivileges.what_are_the_preferential_interest_rates_for_employees,iprivileges.eligibility_for_staff_banking_privileges
874,how to stop i share,shares.can_i_stop_or_change_my_ishares_contribution,390,364,performance_and_development.is_anytime_feedback_compulsory,0.030234213918447495,0.021240580826997757,0.017541000619530678,364,480,34,performance_and_development.is_anytime_feedback_compulsory,training.my_manager_would_like_to_attend_this_training_course__can_i_sign_up_on_his_her_behalf_in_dbs_learning_hub,future_of_work.do_i_need_to_be_upskilled_or_reskilled_or_redeployed
875,how to get the remain personal loan period,iprivileges.how_to_apply_for_staff_personal_loan,111,120,iprivileges.staff_personal_loan,0.2968142330646515,0.2095561921596527,0.056172631680965424,120,111,119,iprivileges.staff_personal_loan,iprivileges.how_to_apply_for_staff_personal_loan,iprivileges.staff_loans
876,be we get increment in,compensation.how_is_the_group_and_unit_bonus_pool_determined,7,274,payroll.what_is_my_bonus_pay_out_computation,0.2560146450996399,0.04605170711874962,0.026811551302671432,274,7,237,payroll.what_is_my_bonus_pay_out_computation,compensation.how_is_the_group_and_unit_bonus_pool_determined,payroll.how_to_compute_overtime
877,can i contact h hr,general_benefits.who_is_my_hr_rm,51,51,general_benefits.who_is_my_hr_rm,0.9318981766700745,0.0037995176389813423,0.002655052114278078,51,48,312,general_benefits.who_is_my_hr_rm,general_benefits.hr_circulars,people_hub.how_to_update_contact_info_in_people_hub
878,dbs personal loan,iprivileges.staff_personal_loan,120,120,iprivileges.staff_personal_loan,0.5400878190994263,0.110794298350811,0.03759282827377319,120,111,119,iprivileges.staff_personal_loan,iprivileges.how_to_apply_for_staff_personal_loan,iprivileges.staff_loans
879,vows circular,payroll.what_is_my_bonus_pay_out_computation,274,465,training.how_do_i_know_what_programme_dbs_academy_offers,0.026059839874505997,0.015812227502465248,0.015152047388255596,465,499,230,training.how_do_i_know_what_programme_dbs_academy_offers,training.who_is_required_to_complete_the_mandatory_learning,payroll.gratuity
880,bonus date,payroll.when_is_our_bonus_credited,282,282,payroll.when_is_our_bonus_credited,0.6765651106834412,0.0120393680408597,0.006720180623233318,282,47,267,payroll.when_is_our_bonus_credited,general_benefits.festive_early_release,payroll.variable_sales_incentives
881,employee life cycle,performance_and_development.performance_and_development,373,26,cwms.managed_service_or_resource_tracking_in_cwms,0.04186135157942772,0.032545436173677444,0.026141084730625153,26,389,29,cwms.managed_service_or_resource_tracking_in_cwms,performance_and_development.why_is_a_development_plan_important,cwms.what_is_cwms
882,how do you determine a staff be last date of service upon resignation,offboarding.how_to_determine_last_day_of_service,196,196,offboarding.how_to_determine_last_day_of_service,0.8044524192810059,0.007650807499885559,0.006668324116617441,196,99,27,offboarding.how_to_determine_last_day_of_service,internal_mobility.internal_mobility_application_while_serving_notice,cwms.termination_or_cancellation_in_cwms
883,can a manager reject a resignation,people_hub.how_to_approve_resignation_in_people_hub,298,298,people_hub.how_to_approve_resignation_in_people_hub,0.2918883264064789,0.14263978600502014,0.08879341930150986,298,197,201,people_hub.how_to_approve_resignation_in_people_hub,offboarding.manager_to-do_list_for_employee_resignation,offboarding.resignation_process
884,what if my manager do not accept resignation,people_hub.how_to_approve_resignation_in_people_hub,298,298,people_hub.how_to_approve_resignation_in_people_hub,0.22648745775222778,0.15001632273197174,0.11662600934505463,298,197,201,people_hub.how_to_approve_resignation_in_people_hub,offboarding.manager_to-do_list_for_employee_resignation,offboarding.resignation_process
885,what be special award,general_benefits.benefits,44,132,itq_and_wetq.recognition_in_dbs,0.19310221076011658,0.13244010508060455,0.09537166357040405,132,309,130,itq_and_wetq.recognition_in_dbs,people_hub.how_to_submit_ns_men_achievement_award_claim,itq_and_wetq.how_to_submit_itq_or_wetq_nomination
886,when will we get bonus letter,compensation.how_to_view_my_compensation_eletter,9,9,compensation.how_to_view_my_compensation_eletter,0.1427539587020874,0.11204762756824493,0.11037088930606842,9,10,16,compensation.how_to_view_my_compensation_eletter,compensation.how_to_view_my_team_compensation_eletters,compensation.when_will_the_compensation_eletter_communication_start
887,leave apply leave compassionate leave,leave.when_can_i_start_my_compassionate_leave,155,140,leave.can_i_take_leave,0.9795891642570496,0.008616488426923752,0.0018384933937340975,140,150,329,leave.can_i_take_leave,leave.leave_guidelines,people_hub.what_is_my_leave_balance
888,compassionate leas,leave.when_can_i_start_my_compassionate_leave,155,155,leave.when_can_i_start_my_compassionate_leave,0.40744084119796753,0.14062762260437012,0.05684291943907738,155,150,174,leave.when_can_i_start_my_compassionate_leave,leave.leave_guidelines,medical.i_would_like_to_know_what_is_my_medical_coverage__claim_eligibility_
889,that be okay,performance_and_development.performance_and_development,373,166,medical.how_do_i_go_about_paying_my_medical_bills,0.07071828842163086,0.031609173864126205,0.0306156687438488,166,247,46,medical.how_do_i_go_about_paying_my_medical_bills,payroll.i_have_not_received_my_allowances_,general_benefits.eat_with_your_family
890,special share award,shares.what_is_ishares,406,132,itq_and_wetq.recognition_in_dbs,0.10123981535434723,0.07131542265415192,0.06388647854328156,132,128,129,itq_and_wetq.recognition_in_dbs,itq_and_wetq.how_to_assign_the_award_amount_for_wetq_nomination,itq_and_wetq.how_to_redeem_itq_wetq_rewards
891,medical cert,medical.medical_certificate,176,176,medical.medical_certificate,0.33135220408439636,0.04783497378230095,0.03777256980538368,176,179,182,medical.medical_certificate,medical.must_i_get_referral_from_gp_before_consulting_a_specialist,medical.tcm_generic
892,what be the process for dp entry approval,standard_letter_request.how_can_i_apply_for_dependant_pass,435,435,standard_letter_request.how_can_i_apply_for_dependant_pass,0.25815072655677795,0.054269466549158096,0.040337856858968735,435,424,421,standard_letter_request.how_can_i_apply_for_dependant_pass,standard_letter_request.can_i_request_dbs_to_generate_a_pr_letter_for_me,standard_letter_request.can_i_request_dbs_to_generate_a_letter_for_ltvp_application
893,how to see my sale incentive,payroll.variable_sales_incentives,267,267,payroll.variable_sales_incentives,0.5829171538352966,0.034139636904001236,0.012582201510667801,267,396,13,payroll.variable_sales_incentives,shares.how_is_the_share_price_determined,compensation.what_is_balanced_distribution_of_earnings
894,can i use corporate card to pay for external training,training.external_training_process,458,458,training.external_training_process,0.6141569018363953,0.013848367147147655,0.008244059048593044,458,449,483,training.external_training_process,training.can_managers_enroll_staff_for_courses,training.training_claims
895,where to apply off in lieu,leave.how_do_i_claim_my_public_holiday_off-in-lieu,147,140,leave.can_i_take_leave,0.9327003359794617,0.012937053106725216,0.010317584499716759,140,147,329,leave.can_i_take_leave,leave.how_do_i_claim_my_public_holiday_off-in-lieu,people_hub.what_is_my_leave_balance
896,off in lieu for cony,leave.how_do_i_claim_my_public_holiday_off-in-lieu,147,147,leave.how_do_i_claim_my_public_holiday_off-in-lieu,0.9732133746147156,0.0014794435119256377,0.001205724896863103,147,152,153,leave.how_do_i_claim_my_public_holiday_off-in-lieu,leave.list_of_public_holidays,leave.what_can_be_considered_as_block_leave
897,alliance messaging hub,general_benefits.benefits,44,290,people_hub.dbs_people_hub,0.13907316327095032,0.08247418701648712,0.03719677776098251,290,51,31,people_hub.dbs_people_hub,general_benefits.who_is_my_hr_rm,employee_referral_programme.one_name_each_guide
898,bonus crediting,escalation.escalation_cases,32,274,payroll.what_is_my_bonus_pay_out_computation,0.5271516442298889,0.08947904407978058,0.06846586614847183,274,282,7,payroll.what_is_my_bonus_pay_out_computation,payroll.when_is_our_bonus_credited,compensation.how_is_the_group_and_unit_bonus_pool_determined
899,invoice,onboarding.onboarding,214,28,cwms.timesheet_and_invoicing_matters_in_cwms,0.24475432932376862,0.029640886932611465,0.02310079149901867,28,105,226,cwms.timesheet_and_invoicing_matters_in_cwms,iprivileges.dbs_staff_promotion,payroll.deduction_of__shortfall_of_cpf_on_additional_wages__reflected_in_my_final_payslip__what_is_this_relating_to
900,dbs care promo,iprivileges.dbs_staff_promotion,105,45,general_benefits.daycare_partners_reimbursement_policy,0.023341283202171326,0.022626178339123726,0.019617801532149315,45,49,105,general_benefits.daycare_partners_reimbursement_policy,general_benefits.onsite_day_care_policy_and_tie_up_centres,iprivileges.dbs_staff_promotion
901,where to view bonus letter,compensation.how_to_view_my_compensation_eletter,9,9,compensation.how_to_view_my_compensation_eletter,0.32341450452804565,0.11873666942119598,0.04979199916124344,9,10,16,compensation.how_to_view_my_compensation_eletter,compensation.how_to_view_my_team_compensation_eletters,compensation.when_will_the_compensation_eletter_communication_start
902,rental reimbursement,payroll.what_is_rental_reimbursement,276,276,payroll.what_is_rental_reimbursement,0.4425640106201172,0.19574561715126038,0.16563324630260468,276,227,233,payroll.what_is_rental_reimbursement,payroll.documents_required_for_rental_reimbursement,payroll.how_to_apply_for_rental_reimbursement_scheme
903,how to waive charge,iprivileges.waiver_for_non-salary_crediting_account,123,123,iprivileges.waiver_for_non-salary_crediting_account,0.7223297953605652,0.014023474417626858,0.013587349094450474,123,114,109,iprivileges.waiver_for_non-salary_crediting_account,iprivileges.how_to_participate_in_dbs_staff_promotion,iprivileges.how_to_apply_for_staff_banking_privileges
904,waive fall below fee for staff account,iprivileges.waiver_for_non-salary_crediting_account,123,123,iprivileges.waiver_for_non-salary_crediting_account,0.7951006293296814,0.018334653228521347,0.017557084560394287,123,109,124,iprivileges.waiver_for_non-salary_crediting_account,iprivileges.how_to_apply_for_staff_banking_privileges,iprivileges.what_are_the_preferential_interest_rates_for_employees
905,it refund,itq_and_wetq.will_my_itq_points_expire,135,225,payroll.cpf_refund_letter,0.7126006484031677,0.007794023025780916,0.004354513715952635,225,9,69,payroll.cpf_refund_letter,compensation.how_to_view_my_compensation_eletter,iflex.how_to_submit_iflex_claim
906,hi may i know how to enroll the dbs i share,shares.how_to_join_ishares,398,398,shares.how_to_join_ishares,0.35379084944725037,0.030686402693390846,0.02625235542654991,398,399,133,shares.how_to_join_ishares,shares.how_to_open_cdp_account,itq_and_wetq.who_can_access_itq_wetq_portal
907,fha i sparrow,medical.what_is_an_e-card,184,62,iflex.can_i_know_what_is_my_iflex_entitlement,0.03168312460184097,0.030635282397270203,0.027662964537739754,62,285,184,iflex.can_i_know_what_is_my_iflex_entitlement,payroll.who_is_eligible_under_mpf_scheme,medical.what_is_an_e-card
908,e calculation,payroll.how_to_calculate_employment_ordinance_adjustment,235,235,payroll.how_to_calculate_employment_ordinance_adjustment,0.4383383095264435,0.1168798953294754,0.012697805650532246,235,272,269,payroll.how_to_calculate_employment_ordinance_adjustment,payroll.what_is_employment_ordinance_adjustment,payroll.viewing_cpf_contribution_in_cpf_statement
909,when can en cash out special award,leave.leave_encashment,149,218,payroll.benefits-in-kind_in_form_ir8e,0.052249208092689514,0.05074935033917427,0.04975511133670807,218,309,301,payroll.benefits-in-kind_in_form_ir8e,people_hub.how_to_submit_ns_men_achievement_award_claim,people_hub.how_to_check_ns_achievement_award_claim_status
910,compensation share,compensation.components_of_the_compensation_structure,3,394,shares.how_can_i_find_out_the_price_of_a_dbsh_share,0.0723588690161705,0.06184370815753937,0.051306527107954025,394,396,4,shares.how_can_i_find_out_the_price_of_a_dbsh_share,shares.how_is_the_share_price_determined,compensation.how_does_the_bank_achieve_market_competitiveness
911,people hub,people_hub.dbs_people_hub,290,290,people_hub.dbs_people_hub,0.7116917371749878,0.008523372001945972,0.007798653095960617,290,318,210,people_hub.dbs_people_hub,people_hub.how_to_update_national_id_or_government_id_in_people_hub,onboarding.login_access_to_taleo
912,where to see my total compensation,compensation.components_of_the_compensation_structure,3,8,compensation.how_to_access_the_year-end_comp_review,0.1406800001859665,0.10913331061601639,0.09067310392856598,8,3,9,compensation.how_to_access_the_year-end_comp_review,compensation.components_of_the_compensation_structure,compensation.how_to_view_my_compensation_eletter
913,expand pride,performance_and_development.how_to_start_my_pd_year-end_review,362,490,training.what_is_digify,0.0339091531932354,0.029102055355906487,0.02243727259337902,490,369,362,training.what_is_digify,performance_and_development.must_I_acknowledge_my_pd_yer,performance_and_development.how_to_start_my_pd_year-end_review
914,sosa support,general_benefits.benefits,44,249,payroll.i_would_like_to_opt_out_change_the_monthly_contributions_for_cdac_sinda_mbmf_ecf,0.09645071625709534,0.04716481268405914,0.028263365849852562,249,460,228,payroll.i_would_like_to_opt_out_change_the_monthly_contributions_for_cdac_sinda_mbmf_ecf,training.gesp_eligibility,payroll.employer_and_employee_mpf_contribution_start_date
915,share award,compensation.components_of_the_compensation_structure,3,132,itq_and_wetq.recognition_in_dbs,0.21007421612739563,0.11133971810340881,0.08011671155691147,132,129,130,itq_and_wetq.recognition_in_dbs,itq_and_wetq.how_to_redeem_itq_wetq_rewards,itq_and_wetq.how_to_submit_itq_or_wetq_nomination
916,do i need to key in the system,people_hub.dbs_people_hub,290,204,onboarding.can_i_change_my_1bank_id,0.1523509919643402,0.14384141564369202,0.14225682616233826,204,216,318,onboarding.can_i_change_my_1bank_id,onboarding.when_will_the_new_hire_1bank_id_be_ready,people_hub.how_to_update_national_id_or_government_id_in_people_hub
917,aw access,payroll.annual_wage_supplement,217,216,onboarding.when_will_the_new_hire_1bank_id_be_ready,0.17120397090911865,0.043844692409038544,0.043165527284145355,216,213,211,onboarding.when_will_the_new_hire_1bank_id_be_ready,onboarding.new_hire_staff_pass,onboarding.new_hire_1bank_password
918,access learner,training.accessing_dbs_learning_hub,443,443,training.accessing_dbs_learning_hub,0.1418580412864685,0.07708504050970078,0.07474934309720993,443,465,489,training.accessing_dbs_learning_hub,training.how_do_i_know_what_programme_dbs_academy_offers,training.what_is_dbs_learning_hub
